Freq.	V(out)
3.80189396320558e+02	(3.07569159205816e+01dB,-1.17259431723252e+02°)
3.89045144994278e+02	(3.09051734128695e+01dB,-1.17922707557119e+02°)
3.98107170553494e+02	(3.10515977181811e+01dB,-1.18590585385175e+02°)
4.07380277804110e+02	(3.11961519074795e+01dB,-1.19262926441953e+02°)
4.16869383470332e+02	(3.13387997629062e+01dB,-1.19939578938511e+02°)
4.26579518801589e+02	(3.14795058937199e+01dB,-1.20620378162079e+02°)
4.36515832240163e+02	(3.16182358531996e+01dB,-1.21305146628300e+02°)
4.46683592150960e+02	(3.17549562558725e+01dB,-1.21993694287703e+02°)
4.57088189614872e+02	(3.18896348943903e+01dB,-1.22685818787681e+02°)
4.67735141287195e+02	(3.20222408553439e+01dB,-1.23381305790840e+02°)
4.78630092322635e+02	(3.21527446332798e+01dB,-1.24079929350118e+02°)
4.89778819368442e+02	(3.22811182421598e+01dB,-1.24781452340625e+02°)
5.01187233627268e+02	(3.24073353234965e+01dB,-1.25485626947617e+02°)
5.12861383991361e+02	(3.25313712503912e+01dB,-1.26192195209542e+02°)
5.24807460249769e+02	(3.26532032267073e+01dB,-1.26900889614524e+02°)
5.37031796370249e+02	(3.27728103806284e+01dB,-1.27611433748149e+02°)
5.49540873857620e+02	(3.28901738518712e+01dB,-1.28323542989870e+02°)
5.62341325190345e+02	(3.30052768718625e+01dB,-1.29036925254849e+02°)
5.75439937337152e+02	(3.31181048362285e+01dB,-1.29751281777543e+02°)
5.88843655355584e+02	(3.32286453689996e+01dB,-1.30466307932886e+02°)
6.02559586074353e+02	(3.33368883779951e+01dB,-1.31181694090501e+02°)
6.16595001861477e+02	(3.34428261009198e+01dB,-1.31897126496972e+02°)
6.30957344480188e+02	(3.35464531417818e+01dB,-1.32612288180903e+02°)
6.45654229034650e+02	(3.36477664973225e+01dB,-1.33326859875216e+02°)
6.60693448007591e+02	(3.37467655732347e+01dB,-1.34040520950902e+02°)
6.76082975391976e+02	(3.38434521900380e+01dB,-1.34752950356362e+02°)
6.91830970918931e+02	(3.39378305785693e+01dB,-1.35463827556347e+02°)
7.07945784384132e+02	(3.40299073651408e+01dB,-1.36172833464539e+02°)
7.24435960074984e+02	(3.41196915465106e+01dB,-1.36879651363886e+02°)
7.41310241300911e+02	(3.42071944548985e+01dB,-1.37583967808953e+02°)
7.58577575029177e+02	(3.42924297133684e+01dB,-1.38285473504738e+02°)
7.76247116628685e+02	(3.43754131819777e+01dB,-1.38983864156717e+02°)
7.94328234724275e+02	(3.44561628951730e+01dB,-1.39678841287173e+02°)
8.12830516164092e+02	(3.45346989909744e+01dB,-1.40370113013291e+02°)
8.31763771102664e+02	(3.46110436325587e+01dB,-1.41057394782891e+02°)
8.51138038202369e+02	(3.46852209228958e+01dB,-1.41740410064162e+02°)
8.70963589956073e+02	(3.47572568131419e+01dB,-1.42418890986260e+02°)
8.91250938133738e+02	(3.48271790055234e+01dB,-1.43092578928135e+02°)
9.12010839355902e+02	(3.48950168514684e+01dB,-1.43761225053482e+02°)
9.33254300796983e+02	(3.49608012457601e+01dB,-1.44424590790262e+02°)
9.54992586021428e+02	(3.50245645174893e+01dB,-1.45082448253756e+02°)
9.77237220955802e+02	(3.50863403185775e+01dB,-1.45734580612633e+02°)
9.99999999999991e+02	(3.51461635106344e+01dB,-1.46380782398006e+02°)
1.02329299228075e+03	(3.52040700508876e+01dB,-1.47020859755965e+02°)
1.04712854805089e+03	(3.52600968778999e+01dB,-1.47654630644452e+02°)
1.07151930523760e+03	(3.53142817977516e+01dB,-1.48281924975835e+02°)
1.09647819614318e+03	(3.53666633713293e+01dB,-1.48902584706840e+02°)
1.12201845430195e+03	(3.54172808033177e+01dB,-1.49516463877886e+02°)
1.14815362149687e+03	(3.54661738334426e+01dB,-1.50123428604132e+02°)
1.17489755493952e+03	(3.55133826304660e+01dB,-1.50723357020792e+02°)
1.20226443461740e+03	(3.55589476893790e+01dB,-1.51316139185500e+02°)
1.23026877081237e+03	(3.56029097321882e+01dB,-1.51901676940639e+02°)
1.25892541179416e+03	(3.56453096126375e+01dB,-1.52479883738689e+02°)
1.28824955169312e+03	(3.56861882251520e+01dB,-1.53050684433732e+02°)
1.31825673855640e+03	(3.57255864182436e+01dB,-1.53614015042266e+02°)
1.34896288259164e+03	(3.57635449125652e+01dB,-1.54169822476526e+02°)
1.38038426460287e+03	(3.58001042237517e+01dB,-1.54718064253461e+02°)
1.41253754462274e+03	(3.58353045901448e+01dB,-1.55258708182472e+02°)
1.44543977074591e+03	(3.58691859054522e+01dB,-1.55791732034939e+02°)
1.47910838816819e+03	(3.59017876563551e+01dB,-1.56317123198458e+02°)
1.51356124843619e+03	(3.59331488650414e+01dB,-1.56834878318613e+02°)
1.54881661891247e+03	(3.59633080366085e+01dB,-1.57345002930936e+02°)
1.58489319246110e+03	(3.59923031112530e+01dB,-1.57847511085604e+02°)
1.62181009735891e+03	(3.60201714211356e+01dB,-1.58342424967240e+02°)
1.65958690743754e+03	(3.60469496517902e+01dB,-1.58829774512020e+02°)
1.69824365246173e+03	(3.60726738079262e+01dB,-1.59309597024154e+02°)
1.73780082874936e+03	(3.60973791834550e+01dB,-1.59781936793596e+02°)
1.77827941003891e+03	(3.61211003355634e+01dB,-1.60246844716714e+02°)
1.81970085860997e+03	(3.61438710626409e+01dB,-1.60704377921441e+02°)
1.86208713666285e+03	(3.61657243858651e+01dB,-1.61154599398316e+02°)
1.90546071796323e+03	(3.61866925342415e+01dB,-1.61597577638618e+02°)
1.94984459975803e+03	(3.62068069328907e+01dB,-1.62033386280678e+02°)
